nr,archived_at,player_id,player,position,team,market_value,season_points,matchday_points,avg_matchday_points,matchday_points_per_mio,season_seconds,matchday_seconds,prob,status,acquired,purchase_price,final
2,2026-09-07T23:27:17+02:00,11955,El Khannouss,MF,Stuttgart,18756255,169,229,84.5,12.2,5995,2998,3,fit,,,
1,2026-09-02T08:49:13+02:00,11956,Fernández,MF,Leverkusen,11024813,39,39,39.0,3.5,3838,3838,2,fit,,,
2,2026-09-07T23:27:17+02:00,11956,Fernández,MF,Leverkusen,11024813,267,228,133.5,20.7,7676,3838,2,fit,,,
1,2026-09-02T08:49:13+02:00,11957,Ben Seghir,MF,Leverkusen,3223465,0,0,0.0,0.0,0,0,5,angeschlagen,,,
2,2026-09-07T23:27:17+02:00,11957,Ben Seghir,MF,Leverkusen,3223465,0,0,0.0,0.0,0,0,5,angeschlagen,,,
2,2026-09-07T23:27:17+02:00,11958,Castro-Montes,MF,Köln,9261870,114,51,57.0,5.5,11322,5661,2,angeschlagen,,,
1,2026-09-02T08:49:13+02:00,11959,Daghim,ST,Hoffenheim,10504905,163,163,163.0,15.5,5621,5621,2,fit,,,
2,2026-09-07T23:27:17+02:00,11959,Daghim,ST,Hoffenheim,10504905,308,145,154.0,13.8,11243,5622,2,fit,,,
1,2026-09-02T08:49:13+02:00,11967,Vieira,MF,Hamburg,19365258,0,0,0.0,0.0,0,0,1,fit,,,
2,2026-09-07T23:27:17+02:00,11967,Vieira,MF,Hamburg,19365258,3,3,1.5,0.2,2914,2914,1,fit,,,
1,2026-09-02T08:49:13+02:00,12158,Vozar,MF,Schalke,1958103,0,0,0.0,0.0,0,0,5,fit,,,
2,2026-09-07T23:27:17+02:00,12158,Vozar,MF,Schalke,1958103,5,5,2.5,2.6,1178,1178,5,fit,,,
1,2026-09-02T08:49:13+02:00,1223,Friedrich,ABW,Union Berlin,1770802,0,0,0.0,0.0,0,0,5,angeschlagen,,,
2,2026-09-07T23:27:17+02:00,1223,Friedrich,ABW,Union Berlin,1770802,0,0,0.0,0.0,0,0,5,angeschlagen,,,
1,2026-09-02T08:49:13+02:00,1225,Zingerle,TW,Leipzig,500000,0,0,0.0,0.0,0,0,5,fit,,,
2,2026-09-07T23:27:17+02:00,1225,Zingerle,TW,Leipzig,500000,0,0,0.0,0.0,0,0,5,fit,,,
1,2026-09-02T08:49:13+02:00,12262,Millgramm,ST,Paderborn,2890075,0,0,0.0,0.0,0,0,5,fit,,,
2,2026-09-07T23:27:17+02:00,12262,Millgramm,ST,Paderborn,2890075,0,0,0.0,0.0,0,0,5,fit,,,
1,2026-09-02T08:49:13+02:00,12284,Kosugi,ABW,Frankfurt,9514289,64,64,64.0,6.7,5911,5911,2,fit,,,
2,2026-09-07T23:27:17+02:00,12284,Kosugi,ABW,Frankfurt,9514289,118,54,59.0,5.7,11823,5912,2,fit,,,
1,2026-09-02T08:49:13+02:00,12285,Arrhov,MF,Frankfurt,1448984,-6,-6,-6.0,-4.1,944,944,5,fit,,,
2,2026-09-07T23:27:17+02:00,12285,Arrhov,MF,Frankfurt,1448984,-6,0,-3.0,0.0,944,0,5,fit,,,
1,2026-09-02T08:49:13+02:00,12294,Amaimouni,MF,Frankfurt,8365555,73,73,73.0,8.7,3337,3337,4,fit,,,
2,2026-09-07T23:27:17+02:00,12294,Amaimouni,MF,Frankfurt,8365555,82,9,41.0,1.1,6675,3338,4,fit,,,
1,2026-09-02T08:49:13+02:00,12297,Tanaka,MF,Schalke,6030349,0,0,0.0,0.0,0,0,2,fit,,,
2,2026-09-07T23:27:17+02:00,12297,Tanaka,MF,Schalke,6030349,94,94,47.0,15.6,5741,5741,2,fit,,,
1,2026-09-02T08:49:13+02:00,12314,Ndiaye,MF,Bayern,1358312,0,0,0.0,0.0,0,0,5,fit,,,
2,2026-09-07T23:27:17+02:00,12314,Ndiaye,MF,Bayern,1358312,0,0,0.0,0.0,0,0,5,fit,,,
1,2026-09-02T08:49:13+02:00,12317,Adam,ST,Elversberg,2892353,0,0,0.0,0.0,0,0,5,fit,,,
2,2026-09-07T23:27:17+02:00,12317,Adam,ST,Elversberg,2892353,0,0,0.0,0.0,0,0,5,fit,,,
1,2026-09-02T08:49:13+02:00,12321,Simpson-Pusey,ABW,Köln,10373269,62,62,62.0,6.0,5753,5753,1,fit,,,
2,2026-09-07T23:27:17+02:00,12321,Simpson-Pusey,ABW,Köln,10373269,141,79,70.5,7.6,11507,5754,1,fit,,,
1,2026-09-02T08:49:13+02:00,12341,Ribeiro,ST,Augsburg,5222289,103,103,103.0,19.7,982,982,5,fit,,,
2,2026-09-07T23:27:17+02:00,12341,Ribeiro,ST,Augsburg,5222289,131,28,65.5,5.4,1964,982,5,fit,,,
1,2026-09-02T08:49:13+02:00,12368,Tangvik,TW,Hamburg,1228309,0,0,0.0,0.0,0,0,5,fit,,,
2,2026-09-07T23:27:17+02:00,12368,Tangvik,TW,Hamburg,1228309,0,0,0.0,0.0,0,0,5,fit,,,
1,2026-09-02T08:49:13+02:00,1246,Orban,ABW,Leipzig,30379465,171,171,171.0,5.6,5907,5907,2,fit,,,
2,2026-09-07T23:27:17+02:00,1246,Orban,ABW,Leipzig,30379465,287,116,143.5,3.8,11814,5907,2,fit,,,
1,2026-09-02T08:49:13+02:00,1257,Kübler,ABW,Freiburg,6699454,102,102,102.0,15.2,2734,2734,4,fit,,,
2,2026-09-07T23:27:17+02:00,1257,Kübler,ABW,Freiburg,6699454,136,34,68.0,5.1,5469,2735,4,fit,,,
1,2026-09-02T08:49:13+02:00,12763,Latte Lath,ST,Union Berlin,9317606,96,96,96.0,10.3,3957,3957,3,fit,,,
2,2026-09-07T23:27:17+02:00,12763,Latte Lath,ST,Union Berlin,9317606,80,-16,40.0,-1.7,7914,3957,3,fit,,,
1,2026-09-02T08:49:13+02:00,1333,Klostermann,ABW,Leipzig,713508,0,0,0.0,0.0,0,0,5,fit,,,
2,2026-09-07T23:27:17+02:00,1333,Klostermann,ABW,Leipzig,713508,0,0,0.0,0.0,0,0,5,fit,,,
1,2026-09-02T08:49:13+02:00,13431,Siebeking,TW,Schalke,500000,0,0,0.0,0.0,0,0,5,fit,,,
2,2026-09-07T23:27:17+02:00,13431,Siebeking,TW,Schalke,500000,0,0,0.0,0.0,0,0,5,fit,,,
1,2026-09-02T08:49:13+02:00,13433,Lemke,ABW,Hamburg,5778034,2,2,2.0,0.3,3000,3000,4,fit,,,
2,2026-09-07T23:27:17+02:00,13433,Lemke,ABW,Hamburg,5778034,-13,-15,-6.5,-2.6,6001,3001,4,fit,,,
1,2026-09-02T08:49:13+02:00,13438,Ruoppi,MF,Mainz,1571469,15,15,15.0,9.5,976,976,5,fit,,,
2,2026-09-07T23:27:17+02:00,13438,Ruoppi,MF,Mainz,1571469,38,23,19.0,14.6,1953,977,5,fit,,,
1,2026-09-02T08:49:13+02:00,13442,Bolin,MF,M'gladbach,11872239,32,32,32.0,2.7,5845,5845,1,fit,,,
2,2026-09-07T23:27:17+02:00,13442,Bolin,MF,M'gladbach,11872239,318,286,159.0,24.1,11691,5846,1,fit,,,
1,2026-09-02T08:49:13+02:00,13448,Aouchiche,MF,Schalke,11195742,43,43,43.0,3.8,5162,5162,1,fit,,,
2,2026-09-07T23:27:17+02:00,13448,Aouchiche,MF,Schalke,11195742,127,84,63.5,7.5,10325,5163,1,fit,,,
1,2026-09-02T08:49:13+02:00,13449,Ndiaye,ABW,Bremen,3416171,0,0,0.0,0.0,0,0,5,fit,,,
2,2026-09-07T23:27:17+02:00,13449,Ndiaye,ABW,Bremen,3416171,0,0,0.0,0.0,0,0,5,fit,,,
1,2026-09-02T08:49:13+02:00,13472,Reggiani,ABW,Dortmund,2701093,0,0,0.0,0.0,0,0,4,fit,,,
2,2026-09-07T23:27:17+02:00,13472,Reggiani,ABW,Dortmund,2701093,57,57,28.5,21.1,1999,1999,4,fit,,,
1,2026-09-02T08:49:13+02:00,13479,Ogundu,ST,Augsburg,2898926,0,0,0.0,0.0,0,0,5,fit,,,
2,2026-09-07T23:27:17+02:00,13479,Ogundu,ST,Augsburg,2898926,0,0,0.0,0.0,0,0,5,fit,,,
1,2026-09-02T08:49:13+02:00,13629,Güther,MF,Union Berlin,1923242,0,0,0.0,0.0,0,0,5,fit,,,
2,2026-09-07T23:27:17+02:00,13629,Güther,MF,Union Berlin,1923242,0,0,0.0,0.0,0,0,5,fit,,,
1,2026-09-02T08:49:13+02:00,13671,Wisbereit,TW,Augsburg,500000,0,0,0.0,0.0,0,0,5,fit,,,
2,2026-09-07T23:27:17+02:00,13671,Wisbereit,TW,Augsburg,500000,0,0,0.0,0.0,0,0,5,fit,,,
1,2026-09-02T08:49:13+02:00,13806,Seol,ABW,Augsburg,3047251,73,73,73.0,24.0,745,745,4,fit,,,
2,2026-09-07T23:27:17+02:00,13806,Seol,ABW,Augsburg,3047251,105,32,52.5,10.5,1490,745,4,fit,,,
1,2026-09-02T08:49:13+02:00,13888,Doué,ABW,Leverkusen,16927744,0,0,0.0,0.0,0,0,4,angeschlagen,,,
2,2026-09-07T23:27:17+02:00,13888,Doué,ABW,Leverkusen,16927744,0,0,0.0,0.0,0,0,4,angeschlagen,,,
1,2026-09-02T08:49:13+02:00,14048,Goto,ST,Freiburg,3312705,11,11,11.0,3.3,810,810,5,fit,,,
2,2026-09-07T23:27:17+02:00,14048,Goto,ST,Freiburg,3312705,30,19,15.0,5.7,1620,810,5,fit,,,
1,2026-09-02T08:49:13+02:00,14140,Mensah,ABW,Köln,9811624,87,87,87.0,8.9,5753,5753,1,fit,,,
2,2026-09-07T23:27:17+02:00,14140,Mensah,ABW,Köln,9811624,126,39,63.0,4.0,11507,5754,1,fit,,,
1,2026-09-02T08:49:13+02:00,14241,Medina,ABW,Leverkusen,9490857,21,21,21.0,2.2,3385,3385,2,angeschlagen,,,
2,2026-09-07T23:27:17+02:00,14241,Medina,ABW,Leverkusen,9490857,256,235,128.0,24.8,6771,3386,2,angeschlagen,,,
1,2026-09-02T08:49:13+02:00,14249,El Aynaoui,MF,Leipzig,14065506,0,0,0.0,0.0,0,0,3,fit,,,
2,2026-09-07T23:27:17+02:00,14249,El Aynaoui,MF,Leipzig,14065506,45,45,22.5,3.2,4640,4640,3,fit,,,
1,2026-09-02T08:49:13+02:00,14251,Saibari,ST,Bayern,30423109,180,180,180.0,5.9,2795,2795,3,fit,,,
2,2026-09-07T23:27:17+02:00,14251,Saibari,ST,Bayern,30423109,219,39,109.5,1.3,5590,2795,3,fit,,,
1,2026-09-02T08:49:13+02:00,14256,El Ouahdi,ABW,Hamburg,10669604,0,0,0.0,0.0,0,0,1,fit,,,
2,2026-09-07T23:27:17+02:00,14256,El Ouahdi,ABW,Hamburg,10669604,-24,-24,-12.0,-2.2,5624,5624,1,fit,,,
